Date,KCalories,Fat..g.,X.Of.Fat..Saturated.Fat..g..,X.Of.Fat..Polyunsaturated.Fat..g..,X.Of.Fat..Monounsaturated.Fat..g..,X.Of.Fat..Trans.Fat..g..,Carbohydrates..g.,X.Of.Carbs..Fiber..g..,X.Of.Carbs..Sugar..g..,Protein..g.,Cholesterol..mg.,Sodium..mg.,Potassium..mg.,Vitamin.A,Vitamin.C,Calcium,Iron,Morning.Weight..lbs.,ExerciseHours,fat.percent,carb.percent,protein.percent,total.percent
3/30/2018,3396,272,103.4,40.2,39.8,0.9,99.6,36.4,23.5,150.4,1574,4063,2705,462,269,390,351,,1,0.709976798,0.115545244,0.174477958,1.015312132
3/31/2018,4195,328,123.3,43.7,52.3,1.9,104.1,41.7,26,220.8,1257,5421,4423,305,523,335,375,,3,0.694326842,0.097939599,0.207733559,1.013492253
4/1/2018,3590,283.2,134.1,34.6,32.6,1.9,88.2,35.3,23.1,168,1624,3968,3743,262,423,269,321,,0,0.713230356,0.098723976,0.188045668,0.995431755
4/2/2018,2796,230.6,78,34.8,33.8,1.9,43.8,31,3.8,136.7,1623,3196,2221,267,230,359,345,,1,0.741903196,0.062629585,0.19546722,1.000500715
4/3/2018,3023,223,70,36.4,29.1,1.9,65,38.6,14.2,199.6,1168,4508,3818,261,290,303,341,,0,0.654726952,0.084817642,0.260455405,1.014025802
4/4/2018,3354,279.9,108.5,35.7,40.1,1.9,85.6,33.2,19.7,133.3,1193,3011,3171,298,299,301,347,,1.5,0.742068519,0.10086311,0.157068371,1.012134764
4/5/2018,3643,305.7,108.7,32.8,20.1,1.9,42.2,24,10.2,167.5,2556,4180,2121,271,240,294,326,,0,0.766357483,0.047018189,0.186624328,0.985479001
4/6/2018,3620,280.8,100.4,38.9,48.1,1.9,87.1,30.5,13.5,189.6,1296,6620,2335,213,214,249,329,,2,0.695432031,0.095872317,0.208695652,1.003867403
4/7/2018,3328,271.3,99.9,46.6,37.1,0,73.8,33.5,9.6,160.1,1779,3616,1620,529,272,292,356,,0,0.722973973,0.0874071,0.189618926,1.014813702
4/8/2018,3667,289.5,119.9,41,55,2.3,80.8,30.5,13.8,184.1,1201,3466,2756,359,255,347,373,,1,0.710894655,0.088183133,0.200922212,0.999481865
4/9/2018,2847,225.9,94.4,35.5,40.1,1.9,57.3,20.1,6,147,1608,3039,2603,281,264,293,349,,2,0.713293338,0.080412588,0.206294074,1.001159115
4/10/2018,2965,218.7,62.9,46.7,46,0,56.2,25.7,20.2,197.9,1053,3958,2880,374,302,277,328,,0,0.659463263,0.075317452,0.265219285,1.006644182
4/11/2018,2092,151.7,68.5,25.7,15,0,77.4,20.1,24,113.5,566,3449,1080,178,284,82,251,,0,0.641317112,0.145427216,0.213255672,1.017638623
4/12/2018,1253,89,43.6,16.2,4.1,0,36.8,6.9,4.4,76.3,308,1690,294,157,242,73,266,,0,0.639061752,0.117440562,0.243497686,1.000319234
4/13/2018,4001,322.4,114.7,43.5,27.1,0,120.9,39.6,19.4,168.6,1701,4853,3327,665,865,261,363,,0,0.714750222,0.119125037,0.166124741,1.014646338
4/14/2018,3070,226.5,104.9,36.7,15.1,0.3,98.8,26.4,39.6,166.7,1863,4744,2813,442,599,322,117,,1.5,0.657474601,0.127463312,0.215062087,1.009934853
4/15/2018,3208,269.9,90.9,46.7,43.8,0,51.1,28.8,13.3,169.5,1518,5060,1847,501,561,360,149,,0,0.733534652,0.061724294,0.204741054,1.032263092
4/16/2018,2620,208.4,67.5,45.8,46.7,1.4,63.1,35.9,8.7,139.8,1579,2482,2492,451,544,282,170,,2,0.697975588,0.093926764,0.208097648,1.025648855
